"","cnpj","matriz_filial","razao_social","nome_fantasia","cod_nat_juridica","inicio_atividade","cnae","endereco","telefone1","telefone2","fax","email","capital_social","porte","estado","cidade","lat","lng","cnaes_secundarios","cnpj8","participante_edital"
"1","16590088000189",1,"GLOBAL EMPRESARIAL CONTABILIDADE  LTDA",NA,"2062",20120727,6920601,"RUA,SAO CRISTOVAO,489,SALA: 302 ,SAO CRISTOVAO,20940000,RJ,Rio de Janeiro","21-25893068","21-38608006","-","GLOBALEMPRESARIAL@GMAIL.COM","62200.00","5","RJ","6001",-22.902237,-43.21774,"{}","16590088","NULL"
"2","17516742000177",1,"PC INOVACAO CONTABIL P&C LTDA","P&C INOVACAO","2240",20130131,6920601,"AVENIDA BRASIL 17241 BLOCO: 21  APT: 401; IRAJA 21230043","21-78221427","-","-","PPECANHA@ZONASUL.COM.BR","10000.00","3","RJ","6001",-22.822954301431,-43.3276901878932,"{}","17516742","NULL"
"3","21317709000195",1,"CARLOS T ROBERTO CONTADORES",NA,"2232",20141029,6920601,"AVENIDA,LUCIO COSTA,16250,APT: 201 ,RECREIO DOS BANDEIRANTES,22795008,RJ,Rio de Janeiro","21-35927772","-","-","CARLOS@CSCCONTABIL.COM.BR","10000.00","3","RJ","6001",-23.02581,-43.46034,"{}","21317709","NULL"
"4","22654290000120",1,"CRJPM CONTABILIDADE E ASSESSORIA TRIBUTARIA EIRELI","CRJPM CONTABILIDADE","2305",20150615,6920601,"RUA,EUNICE GONDIN,160,SALA: 302 303 E 304 ,RECREIO DOS BANDEIRANTES,22795350,RJ,Rio de Janeiro","21-24371158","-","-","DESPACHANTECRPC@GMAIL.COM","200000.00","5","RJ","6001",-23.015936,-43.457573,"{7020400,6920602}","22654290","NULL"
"5","56322613000280",2,"CONTEMP ASSESSORIA CONTABIL S/S","CONTEMP CONTABILIDADE","2232",20150203,6920601,"AVENIDA AYRTON SENNA 3000 CONJ: 3.012  BARRA DA TIJUCA 22775003","11-22811080","-","-","RAFAEL@CONTEMPCONSULTING.COM.BR","45000.00","3","RJ","6001",0,0,"{}","56322613","NULL"
"6","17498942000144",1,"INSIGNE CAPACITACAO PROFISSIONAL E CORPORATIVA LTDA",NA,"2240",20130129,6920601,"AVENIDA,EMBAIXADOR ABELARDO BUENO,1111,SALA: 202  BLOCO: 02 ,JACAREPAGUA,22775022,RJ,Rio de Janeiro","21-39938450","-","-","DF@GRUPOINSIGNE.COM.BR","10000.00","5","RJ","6001",-22.97318,-43.380264,"{8599604}","17498942","NULL"
"7","15239142000183",1,"CAC CONSULTORIA E ASSESSORIA CONTABIL LTDA",NA,"2240",20120201,6920601,"AVENIDA PRESIDENTE VARGAS 542 SALA: 1.705 E 1.706  CENTRO 20071000","21-22536022","21-22539950","-","CALEDO.DIR@TERRA.COM.BR","10000.00","5","RJ","6001",-22.9016907352127,-43.1812296772174,"{8299799}","15239142","NULL"
"8","14726903000169",1,"JM AUDITORIA E CONTABILIDADE LTDA",NA,"2240",20111201,6920601,"RUA VOLUNTARIOS DA PATRIA 329 SALA: 207-PARTE  BOTAFOGO 22270000","21-22865072","-","-","M2RIO@M2RIO.COM.BR","1000.00","5","RJ","6001",-22.9543042831092,-43.1924507134284,"{6920602,7020400}","14726903","NULL"
"9","20933972000146",1,"DIRECTIVA SERVICOS CONTABEIS EIRELI",NA,"2313",20140828,6920601,"AVENIDA DAS ACACIAS DA PENISULA 540 APT: 502  BLOCO: 02; BARRA DA TIJUCA 22776000","21-25629523","-","-","FELIPE.REBELO@GBDIESEL.COM.BR","72400.00","5","RJ","6001",-22.9898249081002,-43.3528843202738,"{}","20933972","NULL"
"10","14032225000134",1,"MAISON D' ARGENT SERVICOS DE CONTABILIDADE LTDA",NA,"2062",20110729,6920601,"RUA LUCIDIO LAGO 138 SALA: 203  MEIER 20780020","21-77383067","21-31773002","-","BENEDETTOADVOCACIA@GMAIL.COM","5000.00","5","RJ","6001",-22.9008281168561,-43.2767772768481,"{}","14032225","NULL"
